gene_id	SRR518892
Q0010	0.0
Q0017	0.0
Q0032	0.0
Q0045	0.0
Q0050	18.0
Q0055	0.0
Q0060	0.0
Q0065	0.0
Q0070	0.0
Q0075	0.0
Q0080	0.0
Q0085	0.0
Q0092	0.0
Q0105	0.0
Q0110	0.0
Q0115	0.0
Q0120	0.0
Q0130	0.0
Q0140	0.0
Q0142	0.0
Q0143	0.0
Q0144	0.0
Q0160	0.0
Q0182	0.0
Q0250	0.0
Q0255	0.0
Q0275	0.0
Q0297	0.0
YAL001C	0.0
YAL002W	3.0
YAL003W	315.0
YAL004W	35.45
YAL005C	10.17
YAL007C	40.0
YAL008W	20.0
YAL009W	1.0
YAL010C	0.0
YAL011W	6.0
YAL012W	59.0
YAL013W	16.0
YAL014C	38.0
YAL015C	11.0
YAL016C-A	16.0
YAL016C-B	4.0
YAL016W	14.0
YAL017W	1.0
YAL018C	0.0
YAL019W	3.0
YAL019W-A	6.034
YAL020C	14.966
YAL021C	3.0
YAL022C	10.0
YAL023C	8.0
YAL024C	0.0
YAL025C	13.0
YAL026C	5.0
YAL026C-A	0.0
YAL027W	0.0
YAL028W	6.0
YAL029C	4.0
YAL030W	6.0
YAL031C	0.0
YAL031W-A	0.0
YAL032C	3.0
YAL033W	13.0
YAL034C	0.0
YAL034C-B	3.0
YAL034W-A	0.0
YAL035W	361.0
YAL036C	23.0
YAL037C-A	0.0
YAL037C-B	3.191
YAL037W	1.0
YAL038W	419.809
YAL039C	2.0
YAL040C	7.0
YAL041W	3.0
YAL042C-A	90.982
YAL042W	12.018
YAL043C	5.0
YAL044C	66.0
YAL044W-A	8.156
YAL045C	163.844
YAL046C	28.0
YAL047C	1.0
YAL047W-A	0.0
YAL048C	3.0
YAL049C	11.0
YAL051W	2.0
YAL053W	2.0
YAL054C	3.0
YAL055W	1.0
YAL056C-A	0.0
YAL056W	9.0
YAL058W	2.0
YAL059C-A	43.722
YAL059W	1.278
YAL060W	20.0
YAL061W	1.0
YAL062W	9.0
YAL063C	5.0
YAL063C-A	0.0
YAL064C-A	0.0
YAL064W	0.0
YAL064W-B	0.0
YAL065C	0.0
YAL066W	0.0
YAL067C	0.0
YAL067W-A	0.0
YAL068C	0.0
YAL068W-A	0.0
YAL069W	0.0
YAR002C-A	37.0
YAR002W	5.0
YAR003W	5.0
YAR007C	3.0
YAR008W	1.0
YAR014C	6.0
YAR015W	25.0
YAR018C	1.0
YAR019C	4.0
YAR019W-A	0.0
YAR020C	0.0
YAR023C	0.0
YAR027W	16.0
YAR028W	5.0
YAR029W	0.0
YAR030C	2.0
YAR031W	24.844
YAR033W	10.0
YAR035C-A	0.0
YAR035W	0.0
YAR042W	3.0
YAR047C	0.0
YAR050W	0.0
YAR053W	0.0
YAR060C	0.0
YAR061W	0.0
YAR064W	0.0
YAR066W	0.5
YAR068W	0.0
YAR070C	1.0
YAR071W	0.0
YAR073W	0.0
YAR075W	0.0
YBL001C	54.0
YBL002W	277.0
YBL003C	160.0
YBL004W	2.0
YBL005W	5.0
YBL006C	31.0
YBL006W-A	0.0
YBL007C	21.0
YBL008W	2.0
YBL008W-A	0.0
YBL009W	1.0
YBL010C	2.0
YBL011W	1.0
YBL012C	2.0
YBL013W	0.0
YBL014C	4.0
YBL015W	0.0
YBL016W	5.0
YBL017C	4.0
YBL018C	6.0
YBL019W	2.0
YBL020W	2.0
YBL021C	1.0
YBL022C	6.0
YBL023C	8.0
YBL024W	8.0
YBL025W	1.0
YBL026W	5.0
YBL027W	1089.077
YBL028C	2.0
YBL029C-A	1.0
YBL029W	2.0
YBL030C	34.0
YBL031W	0.0
YBL032W	1.0
YBL033C	5.0
YBL034C	0.0
YBL035C	7.0
YBL036C	5.0
YBL037W	1.0
YBL038W	12.0
YBL039C	16.0
YBL039C-A	0.0
YBL039W-B	0.0
YBL040C	168.0
YBL041W	17.0
YBL042C	32.0
YBL043W	1.0
YBL044W	0.0
YBL045C	8.0
YBL046W	2.0
YBL047C	1.0
YBL048W	9.0
YBL049W	1.0
YBL050W	15.0
YBL051C	5.0
YBL052C	1.0
YBL053W	0.0
YBL054W	6.0
YBL055C	8.0
YBL056W	16.0
YBL057C	8.0
YBL058W	15.0
YBL059C-A	10.0
YBL059W	4.0
YBL060W	7.0
YBL061C	9.0
YBL062W	0.0
YBL063W	0.0
YBL064C	5.0
YBL065W	0.0
YBL066C	2.0
YBL067C	8.0
YBL068W	37.0
YBL068W-A	0.0
YBL069W	5.0
YBL070C	16.0
YBL071C	16.0
YBL071C-B	0.0
YBL071W-A	11.0
YBL072C	403.881
YBL073W	0.0
YBL074C	1.0
YBL075C	0.0
YBL076C	32.047
YBL077W	15.953
YBL078C	3.0
YBL079W	21.0
YBL080C	0.0
YBL081W	6.0
YBL082C	12.706
YBL083C	4.294
YBL084C	1.0
YBL085W	2.0
YBL086C	4.0
YBL087C	635.773
YBL088C	12.0
YBL089W	10.0
YBL090W	8.0
YBL091C	32.0
YBL091C-A	13.0
YBL092W	675.166
YBL093C	5.0
YBL094C	0.0
YBL095W	0.0
YBL096C	0.0
YBL097W	0.0
YBL098W	0.0
YBL099W	6.159
YBL100C	5.841
YBL100W-C	0.0
YBL101C	1.0
YBL102W	15.0
YBL103C	5.0
YBL104C	0.0
YBL105C	5.0
YBL106C	5.0
YBL107C	8.0
YBL107W-A	0.0
YBL108C-A	0.0
YBL108W	0.0
YBL109W	0.0
YBL111C	0.0
YBL112C	0.0
YBL113C	0.0
YBL113W-A	0.0
YBR001C	4.0
YBR002C	14.0
YBR003W	7.0
YBR004C	1.0
YBR005W	1.0
YBR006W	1.0
YBR007C	3.0
YBR008C	10.0
YBR009C	265.938
YBR010W	39.0
YBR011C	78.0
YBR012C	5.0
YBR013C	0.0
YBR014C	4.0
YBR015C	20.0
YBR016W	49.0
YBR017C	11.0
YBR018C	0.0
YBR019C	1.0
YBR020W	0.0
YBR021W	8.0
YBR022W	8.0
YBR023C	0.0
YBR024W	15.0
YBR025C	130.0
YBR026C	9.0
YBR027C	1.0
YBR028C	6.0
YBR029C	5.0
YBR030W	1.0
YBR031W	194.248
YBR032W	0.0
YBR033W	1.0
YBR034C	4.0
YBR035C	9.0
YBR036C	7.0
YBR037C	8.0
YBR038W	1.0
YBR039W	9.0
YBR040W	0.0
YBR041W	3.0
YBR042C	3.0
YBR043C	8.0
YBR044C	18.0
YBR045C	0.0
YBR046C	2.0
YBR047W	0.0
YBR048W	1657.677
YBR049C	12.0
YBR050C	0.0
YBR051W	1.0
YBR052C	11.0
YBR053C	7.0
YBR054W	2.0
YBR055C	5.0
YBR056C-B	1.631
YBR056W	4.0
YBR056W-A	1.369
YBR057C	7.0
YBR058C	1.0
YBR058C-A	42.0
YBR059C	5.0
YBR060C	3.0
YBR061C	8.0
YBR062C	5.0
YBR063C	0.0
YBR064W	0.0
YBR065C	0.0
YBR066C	58.0
YBR067C	90.0
YBR068C	78.0
YBR069C	19.0
YBR070C	18.0
YBR071W	9.0
YBR072C-A	0.0
YBR072W	2.0
YBR073W	5.0
YBR074W	7.0
YBR076C-A	14.0
YBR076W	15.0
YBR077C	7.0
YBR078W	33.0
YBR079C	4.0
YBR080C	9.0
YBR081C	5.0
YBR082C	136.0
YBR083W	0.0
YBR084C-A	946.923
YBR084W	19.0
YBR085C-A	1.0
YBR085W	7.0
YBR086C	15.0
YBR087W	1.0
YBR088C	6.642
YBR089C-A	6.049
YBR089W	6.358
YBR090C	216.951
YBR091C	8.0
YBR092C	32.0
YBR093C	7.0
YBR094W	11.0
YBR095C	3.0
YBR096W	91.0
YBR097W	1.0
YBR098W	0.0
YBR099C	4.0
YBR101C	8.0
YBR102C	2.0
YBR103C-A	0.0
YBR103W	6.0
YBR104W	51.0
YBR105C	5.0
YBR106W	45.0
YBR107C	11.0
YBR108W	5.0
YBR109C	33.0
YBR109W-A	5.0
YBR110W	19.0
YBR111C	93.0
YBR111W-A	4.0
YBR112C	12.0
YBR113W	1.0
YBR114W	5.0
YBR115C	12.0
YBR116C	0.0
YBR117C	0.0
YBR118W	678.257
YBR119W	0.0
YBR120C	0.0
YBR121C	68.0
YBR121C-A	0.0
YBR122C	15.0
YBR123C	8.058
YBR124W	2.942
YBR125C	4.0
YBR126C	11.0
YBR126W-A	51.561
YBR126W-B	7.439
YBR127C	251.0
YBR128C	0.0
YBR129C	3.0
YBR130C	8.0
YBR131C-A	0.0
YBR131W	4.0
YBR132C	5.0
YBR133C	2.0
YBR134W	2.0
YBR135W	13.0
YBR136W	8.0
YBR137W	12.0
YBR138C	1.0
YBR139W	5.0
YBR140C	7.0
YBR141C	5.0
YBR141W-A	0.0
YBR142W	12.0
YBR143C	15.0
YBR144C	0.0
YBR145W	22.0
YBR146W	22.0
YBR147W	0.0
YBR148W	1.0
YBR149W	4.0
YBR150C	2.0
YBR151W	11.0
YBR152W	1.0
YBR153W	0.0
YBR154C	13.0
YBR155W	10.0
YBR156C	2.0
YBR157C	3.0
YBR158W	12.0
YBR159W	1.0
YBR160W	15.0
YBR161W	1.0
YBR162C	14.0
YBR162W-A	9.0
YBR163W	2.0
YBR164C	1.0
YBR165W	0.0
YBR166C	3.0
YBR167C	3.0
YBR168W	1.0
YBR169C	5.0
YBR170C	10.0
YBR171W	99.0
YBR172C	18.0
YBR173C	23.0
YBR174C	23.802
YBR175W	13.198
YBR176W	2.0
YBR177C	20.0
YBR178W	57.0
YBR179C	5.0
YBR180W	7.0
YBR181C	418.238
YBR182C	0.0
YBR182C-A	0.0
YBR183W	6.0
YBR184W	0.0
YBR185C	3.0
YBR186W	12.0
YBR187W	23.0
YBR188C	3.0
YBR189W	596.0
YBR190W	0.0
YBR191W	962.35
YBR191W-A	0.0
YBR192W	8.0
YBR193C	8.0
YBR194W	0.0
YBR195C	9.0
YBR196C	64.0
YBR196C-A	0.0
YBR196C-B	0.0
YBR197C	11.0
YBR198C	6.0
YBR199W	20.0
YBR200W	7.0
YBR200W-A	0.0
YBR201C-A	0.0
YBR201W	3.0
YBR202W	11.0
YBR203W	3.0
YBR204C	1.0
YBR205W	11.0
YBR206W	2.0
YBR207W	11.0
YBR208C	1.0
YBR209W	1.0
YBR210W	0.0
YBR211C	0.0
YBR212W	0.0
YBR213W	5.0
YBR214W	1.0
YBR215W	2.0
YBR216C	0.0
YBR217W	2.0
YBR218C	7.0
YBR219C	0.0
YBR220C	10.0
YBR221C	30.0
YBR221W-A	0.0
YBR222C	10.0
YBR223C	0.0
YBR223W-A	0.0
YBR224W	4.0
YBR225W	0.0
YBR226C	1.0
YBR227C	3.0
YBR228W	4.0
YBR229C	5.0
YBR230C	24.0
YBR230W-A	3.0
YBR231C	8.0
YBR232C	0.0
YBR233W	0.0
YBR233W-A	3.0
YBR234C	35.0
YBR235W	6.0
YBR236C	4.0
YBR237W	8.0
YBR238C	0.0
YBR239C	9.0
YBR240C	4.0
YBR241C	6.0
YBR242W	5.0
YBR243C	5.0
YBR244W	5.0
YBR245C	12.0
YBR246W	10.0
YBR247C	34.0
YBR248C	25.0
YBR249C	66.0
YBR250W	2.0
YBR251W	16.0
YBR252W	30.0
YBR253W	15.0
YBR254C	2.0
YBR255C-A	4.0
YBR255W	2.0
YBR256C	251.0
YBR257W	7.0
YBR258C	2.0
YBR259W	2.0
YBR260C	0.0
YBR261C	27.0
YBR262C	2.0
YBR263W	7.0
YBR264C	13.0
YBR265W	19.0
YBR266C	0.0
YBR267W	11.0
YBR268W	31.0
YBR269C	13.0
YBR270C	1.0
YBR271W	2.0
YBR272C	1.0
YBR273C	0.0
YBR274W	5.0
YBR275C	0.0
YBR276C	1.0
YBR277C	7.953
YBR278W	2.047
YBR279W	6.0
YBR280C	4.0
YBR281C	2.0
YBR282W	5.0
YBR283C	58.0
YBR284W	0.0
YBR285W	1.0
YBR286W	19.0
YBR287W	8.0
YBR288C	6.0
YBR289W	1.0
YBR290W	4.0
YBR291C	11.0
YBR292C	2.0
YBR293W	1.0
YBR294W	2.0
YBR295W	2.0
YBR296C	3.0
YBR296C-A	0.0
YBR297W	8.0
YBR298C	0.0
YBR298C-A	0.0
YBR299W	0.0
YBR300C	0.0
YBR301W	1.0
YCL001W	25.0
YCL001W-A	2.0
YCL001W-B	1.0
YCL002C	10.0
YCL004W	6.0
YCL005W	2.0
YCL005W-A	58.77
YCL007C	9.0
YCL008C	12.0
YCL009C	53.0
YCL010C	1.0
YCL011C	23.0
YCL012C	24.0
YCL014W	10.0
YCL016C	1.0
YCL017C	15.0
YCL018W	43.0
YCL021W-A	0.0
YCL022C	0.0
YCL023C	3.0
YCL024W	1.0
YCL025C	13.0
YCL026C-A	0.0
YCL026C-B	2.0
YCL027W	0.0
YCL028W	13.0
YCL029C	4.0
YCL030C	44.0
YCL031C	14.0
YCL032W	2.0
YCL033C	18.0
YCL034W	4.0
YCL035C	31.0
YCL036W	5.0
YCL037C	3.0
YCL038C	8.0
YCL039W	6.0
YCL040W	25.0
YCL041C	181.0
YCL042W	27.0
YCL043C	53.0
YCL044C	4.0
YCL045C	5.0
YCL046W	5.0
YCL047C	7.0
YCL048W	0.0
YCL048W-A	0.0
YCL049C	0.0
YCL050C	10.0
YCL051W	0.0
YCL052C	0.0
YCL054W	9.0
YCL054W-A	0.0
YCL055W	0.0
YCL056C	7.0
YCL057C-A	21.0
YCL057W	8.0
YCL058C	37.0
YCL058W-A	0.0
YCL059C	28.0
YCL061C	16.0
YCL063W	2.0
YCL064C	85.0
YCL065W	2.156
YCL068C	0.0
YCL069W	1.0
YCL073C	0.0
YCL074W	0.0
YCL075W	0.0
YCL076W	0.0
YCR001W	1.0
YCR002C	12.0
YCR003W	2.0
YCR004C	13.0
YCR005C	15.0
YCR006C	0.0
YCR007C	7.0
YCR008W	4.0
YCR009C	13.0
YCR010C	1.0
YCR011C	14.0
YCR012W	195.155
YCR013C	8.845
YCR014C	0.0
YCR015C	10.0
YCR016W	14.0
YCR017C	9.0
YCR018C	5.0
YCR018C-A	53.0
YCR019W	3.0
YCR020C	2.0
YCR020C-A	20.0
YCR020W-B	1.0
YCR021C	4.0
YCR022C	1.0
YCR023C	10.0
YCR024C	5.0
YCR024C-A	10.0
YCR024C-B	26.0
YCR025C	0.0
YCR026C	1.0
YCR027C	1.0
YCR028C	1.0
YCR028C-A	45.0
YCR030C	11.0
YCR031C	4534.605
YCR032W	5.0
YCR033W	3.0
YCR034W	32.0
YCR035C	13.0
YCR036W	5.0
YCR037C	7.0
YCR038C	5.0
YCR038W-A	0.0
YCR039C	16.0
YCR040W	0.0
YCR041W	5.845
YCR042C	11.0
YCR043C	2.0
YCR044C	11.0
YCR045C	5.0
YCR045W-A	0.0
YCR046C	20.0
YCR047C	6.335
YCR047W-A	2.665
YCR048W	2.028
YCR049C	3.972
YCR050C	0.0
YCR051W	66.0
YCR052W	6.0
YCR053W	34.0
YCR054C	5.0
YCR057C	17.0
YCR059C	34.0
YCR060W	1.0
YCR061W	4.0
YCR063W	10.874
YCR064C	4.126
YCR065W	9.0
YCR066W	3.0
YCR067C	3.0
YCR068W	3.0
YCR069W	13.0
YCR071C	9.0
YCR072C	4.0
YCR073C	15.0
YCR073W-A	0.0
YCR075C	0.0
YCR075W-A	11.0
YCR076C	14.0
YCR077C	2.0
YCR079W	6.0
YCR081C-A	0.936
YCR081W	2.064
YCR082W	7.0
YCR083W	1.0
YCR084C	0.0
YCR085W	1.0
YCR086W	8.0
YCR087C-A	0.0
YCR087W	17.0
YCR088W	9.0
YCR089W	0.0
YCR090C	49.0
YCR091W	1.0
YCR092C	3.0
YCR093W	2.0
YCR094W	13.0
YCR095C	5.0
YCR095W-A	0.0
YCR096C	0.0
YCR097W	4.999
YCR097W-A	0.0
YCR098C	5.082
YCR099C	0.0
YCR100C	0.0
YCR101C	0.0
YCR102C	2.0
YCR102W-A	0.0
YCR104W	0.0
YCR105W	5.0
YCR106W	3.0
YCR107W	1.0
YCR108C	0.0
YDL001W	6.0
YDL002C	6.0
YDL003W	8.0
YDL004W	65.0
YDL005C	5.0
YDL006W	2.0
YDL007C-A	0.0
YDL007W	31.0
YDL008W	8.0
YDL009C	0.0
YDL010W	0.0
YDL011C	4.0
YDL012C	52.0
YDL013W	2.0
YDL014W	89.0
YDL015C	7.0
YDL016C	38.0
YDL017W	1.0
YDL018C	4.0
YDL019C	12.0
YDL020C	2.0
YDL021W	2.0
YDL022C-A	0.0
YDL022W	6.115
YDL023C	5.885
YDL024C	0.0
YDL025C	2.0
YDL025W-A	0.0
YDL026W	7.0
YDL027C	4.0
YDL028C	3.0
YDL029W	23.0
YDL030W	2.0
YDL031W	19.0
YDL032W	3.988
YDL033C	2.012
YDL034W	0.0
YDL035C	1.0
YDL036C	21.0
YDL037C	0.0
YDL039C	1.0
YDL040C	6.0
YDL041W	0.0
YDL042C	9.0
YDL043C	6.0
YDL044C	4.0
YDL045C	4.0
YDL045W-A	12.0
YDL046W	10.0
YDL047W	0.0
YDL048C	5.0
YDL049C	3.0
YDL050C	5.161
YDL051W	9.839
YDL052C	36.0
YDL053C	1.0
YDL054C	4.0
YDL055C	45.0
YDL056W	0.0
YDL057W	4.0
YDL058W	4.0
YDL059C	4.0
YDL060W	3.0
YDL061C	223.0
YDL062W	6.0
YDL063C	5.0
YDL064W	35.0
YDL065C	5.0
YDL066W	22.0
YDL067C	15.0
YDL068W	0.0
YDL069C	0.0
YDL070W	16.0
YDL071C	4.0
YDL072C	21.0
YDL073W	5.0
YDL074C	3.0
YDL075W	569.197
YDL076C	3.0
YDL077C	1.0
YDL078C	50.0
YDL079C	1.0
YDL080C	3.0
YDL081C	105.0
YDL082W	192.0
YDL083C	1450.0
YDL084W	62.0
YDL085C-A	4.0
YDL085W	0.0
YDL086C-A	0.0
YDL086W	43.0
YDL087C	1.0
YDL088C	1.0
YDL089W	0.0
YDL090C	5.0
YDL091C	3.0
YDL092W	13.0
YDL093W	6.0
YDL094C	3.0
YDL095W	5.092
YDL096C	12.908
YDL097C	10.0
YDL098C	5.0
YDL099W	1.0
YDL100C	22.0
YDL101C	1.0
YDL102W	5.0
YDL103C	3.0
YDL104C	0.0
YDL105W	1.0
YDL106C	3.0
YDL107W	1.0
YDL108W	9.0
YDL109C	0.0
YDL110C	0.0
YDL111C	11.0
YDL112W	4.0
YDL113C	2.0
YDL114W	0.0
YDL114W-A	0.0
YDL115C	3.0
YDL116W	2.0
YDL117W	22.0
YDL118W	2.0
YDL119C	1.0
YDL120W	7.0
YDL121C	11.0
YDL122W	5.0
YDL123W	4.0
YDL124W	6.0
YDL125C	288.0
YDL126C	21.0
YDL127W	5.0
YDL128W	13.012
YDL129W	0.0
YDL130W	188.0
YDL130W-A	3.0
YDL131W	58.103
YDL132W	0.0
YDL133C-A	0.0
YDL133W	19.0
YDL134C	9.0
YDL135C	19.0
YDL136W	30.619
YDL137W	36.0
YDL138W	6.0
YDL139C	0.0
YDL140C	13.0
YDL141W	6.0
YDL142C	7.0
YDL143W	23.0
YDL144C	15.0
YDL145C	8.0
YDL146W	1.0
YDL147W	27.0
YDL148C	7.0
YDL149W	3.0
YDL150W	6.0
YDL151C	0.0
YDL152W	31.983
YDL153C	27.017
YDL154W	0.0
YDL155W	2.0
YDL156W	0.0
YDL157C	21.0
YDL158C	55.969
YDL159C-B	0.0
YDL159W	6.031
YDL159W-A	0.0
YDL160C	5.0
YDL160C-A	2.0
YDL161W	6.0
YDL162C	2.0
YDL163W	3.961
YDL164C	2.039
YDL165W	10.0
YDL166C	6.0
YDL167C	4.0
YDL168W	14.0
YDL169C	0.0
YDL170W	3.0
YDL171C	7.0
YDL172C	0.0
YDL173W	0.0
YDL174C	11.0
YDL175C	1.0
YDL176W	4.0
YDL177C	7.0
YDL178W	4.0
YDL179W	11.0
YDL180W	3.0
YDL181W	4.0
YDL182W	114.897
YDL183C	1.0
YDL184C	0.0
YDL185C-A	17.0
YDL185W	31.0
YDL186W	2.0
YDL187C	10.0
YDL188C	0.0
YDL189W	9.0
YDL190C	2.0
YDL191W	207.381
YDL192W	294.0
YDL193W	4.0
YDL194W	1.0
YDL195W	5.0
YDL196W	0.0
YDL197C	7.0
YDL198C	33.0
YDL199C	0.0
YDL200C	11.0
YDL201W	12.0
YDL202W	9.0
YDL203C	0.0
YDL204W	1.0
YDL205C	11.0
YDL206W	2.0
YDL207W	7.0
YDL208W	119.0
YDL209C	4.0
YDL210W	9.0
YDL211C	2.0
YDL212W	42.0
YDL213C	53.0
YDL214C	0.0
YDL215C	5.0
YDL216C	0.0
YDL217C	11.0
YDL218W	0.0
YDL219W	5.0
YDL220C	0.0
YDL221W	0.0
YDL222C	1.0
YDL223C	5.0
YDL224C	4.0
YDL225W	9.0
YDL226C	9.0
YDL227C	1.0
YDL228C	2.749
YDL229W	256.763
YDL230W	1.0
YDL231C	8.0
YDL232W	4.0
YDL233W	0.0
YDL234C	2.0
YDL235C	2.0
YDL236W	7.0
YDL237W	20.0
YDL238C	0.0
YDL239C	0.0
YDL240C-A	0.0
YDL240W	1.0
YDL241W	3.0
YDL242W	0.0
YDL243C	4.0
YDL244W	0.0
YDL245C	0.0
YDL246C	0.5
YDL247W	0.0
YDL247W-A	0.0
YDL248W	7.21
YDR001C	3.0
YDR002W	57.0
YDR003W	5.0
YDR003W-A	0.0
YDR004W	1.0
YDR005C	11.0
YDR006C	0.0
YDR007W	22.045
YDR008C	32.955
YDR009W	0.0
YDR010C	2.0
YDR011W	22.0
YDR012W	85.752
YDR013W	2.0
YDR014W	0.0
YDR014W-A	0.0
YDR015C	0.0
YDR016C	18.0
YDR017C	9.0
YDR018C	1.0
YDR019C	2.0
YDR020C	4.0
YDR021W	2.0
YDR022C	2.0
YDR023W	50.0
YDR024W	2.0
YDR025W	758.255
YDR026C	9.0
YDR027C	5.0
YDR028C	11.0
YDR029W	0.0
YDR030C	2.0
YDR031W	1.0
YDR032C	14.0
YDR033W	65.0
YDR034C	15.0
YDR034C-A	0.0
YDR034W-B	1.0
YDR035W	18.0
YDR036C	3.0
YDR037W	65.0
YDR038C	11.696
YDR039C	9.353
YDR040C	5.951
YDR041W	16.0
YDR042C	0.0
YDR043C	2.0
YDR044W	24.0
YDR045C	3.0
YDR046C	38.0
YDR047W	50.0
YDR048C	1.0
YDR049W	1.0
YDR050C	829.0
YDR051C	6.0
YDR052C	1.0
YDR053W	0.0
YDR054C	2.0
YDR055W	6.0
YDR056C	15.0
YDR057W	10.0
YDR058C	1.0
YDR059C	11.0
YDR060W	41.0
YDR061W	3.0
YDR062W	14.0
YDR063W	4.0
YDR064W	588.0
YDR065W	6.0
YDR066C	2.0
YDR067C	5.0
YDR068W	15.0
YDR069C	0.0
YDR070C	0.0
YDR071C	34.0
YDR072C	6.0
YDR073W	13.0
YDR074W	2.0
YDR075W	1.0
YDR076W	1.0
YDR077W	410.0
YDR078C	5.0
YDR079C-A	14.0
YDR079W	7.0
YDR080W	9.0
YDR081C	3.0
YDR082W	0.0
YDR083W	8.0
YDR084C	13.0
YDR085C	8.0
YDR086C	47.0
YDR087C	33.0
YDR088C	1.0
YDR089W	8.0
YDR090C	10.0
YDR091C	25.0
YDR092W	10.0
YDR093W	10.182
YDR094W	0.818
YDR095C	5.0
YDR096W	1.0
YDR097C	2.0
YDR098C	25.0
YDR099W	7.0
YDR100W	15.0
YDR101C	21.0
YDR102C	0.0
YDR103W	2.0
YDR104C	2.0
YDR105C	15.0
YDR106W	0.0
YDR107C	0.0
YDR108W	2.0
YDR109C	8.0
YDR110W	1.0
YDR111C	3.0
YDR112W	0.0
YDR113C	1.0
YDR114C	45.0
YDR115W	15.0
YDR116C	2.0
YDR117C	2.0
YDR118W	3.0
YDR118W-A	2.0
YDR119W	3.0
YDR119W-A	2.0
YDR120C	17.0
YDR121W	3.0
YDR122W	7.0
YDR123C	0.0
YDR124W	2.0
YDR125C	2.0
YDR126W	12.0
YDR127W	5.0
YDR128W	10.0
YDR129C	15.0
YDR130C	3.0
YDR131C	0.0
YDR132C	1.0
YDR133C	28.0
YDR135C	11.0
YDR136C	0.0
YDR137W	0.0
YDR138W	1.0
YDR139C	14.0
YDR140W	9.0
YDR141C	4.0
YDR142C	8.0
YDR143C	4.0
YDR144C	12.0
YDR145W	3.0
YDR146C	4.0
YDR147W	2.0
YDR148C	7.0
YDR149C	0.0
YDR150W	7.0
YDR151C	4.0
YDR152W	4.0
YDR153C	5.0
YDR154C	441.32
YDR155C	232.716
YDR156W	23.0
YDR157W	42.0
YDR158W	70.0
YDR159W	0.0
YDR160W	2.0
YDR161W	16.0
YDR162C	3.0
YDR163W	0.0
YDR164C	7.0
YDR165W	4.0
YDR166C	0.0
YDR167W	15.0
YDR168W	11.0
YDR169C	5.0
YDR169C-A	0.0
YDR170C	18.0
YDR171W	8.0
YDR172W	19.0
YDR173C	2.0
YDR174W	67.0
YDR175C	8.0
YDR176W	8.0
YDR177W	7.0
YDR178W	8.0
YDR179C	1.0
YDR179W-A	13.0
YDR180W	5.0
YDR181C	1.0
YDR182W	5.0
YDR182W-A	0.0
YDR183C-A	2.0
YDR183W	6.0
YDR184C	0.0
YDR185C	12.0
YDR186C	0.0
YDR187C	143.452
YDR188W	33.548
YDR189W	10.0
YDR190C	11.0
YDR191W	2.0
YDR192C	1.008
YDR193W	3.992
YDR194C	17.0
YDR194W-A	0.0
YDR195W	12.0
YDR196C	52.0
YDR197W	6.0
YDR198C	5.0
YDR199W	0.0
YDR200C	3.0
YDR201W	4.0
YDR202C	7.0
YDR203W	26.0
YDR204W	6.0
YDR205W	17.0
YDR206W	1.0
YDR207C	0.0
YDR208W	1.0
YDR209C	41.0
YDR210W	0.0
YDR211W	9.0
YDR212W	76.0
YDR213W	1.0
YDR214W	7.0
YDR215C	0.0
YDR216W	2.0
YDR217C	2.0
YDR218C	0.0
YDR219C	2.0
YDR220C	0.0
YDR221W	21.0
YDR222W	7.0
YDR223W	0.0
YDR224C	52.0
YDR225W	108.0
YDR226W	205.0
YDR227W	22.0
YDR228C	0.0
YDR229W	3.0
YDR230W	1.287
YDR231C	3.713
YDR232W	6.0
YDR233C	98.0
YDR234W	10.0
YDR235W	7.0
YDR236C	21.0
YDR237W	6.0
YDR238C	10.0
YDR239C	2.0
YDR240C	2.0
YDR241W	12.0
YDR242W	0.0
YDR243C	1.0
YDR244W	9.0
YDR245W	16.0
YDR246W	1.0
YDR246W-A	0.0
YDR247W	2.0
YDR248C	5.0
YDR249C	1.0
YDR250C	0.0
YDR251W	12.0
YDR252W	2.0
YDR253C	12.0
YDR254W	0.0
YDR255C	2.0
